# Davenport 2014, MNRAS, 440, 3430, Table 1.
gmi  num_star umg umg_std gmr  gmr_std rmi rmi_std imz imz_std zmJ zmJ_std JmH JmH_std HmKs HmKs_std
 2.24    7318 2.647 0.080 1.420 0.029 0.896 0.020  0.481 0.019 1.259 0.035 0.646 0.047 0.203 0.044
 2.26    9662 2.547 0.088 1.428 0.035 0.904 0.023  0.486 0.020 1.262 0.036 0.634 0.050 0.205 0.043
 2.28    8913 2.590 0.105 1.420 0.035 0.929 0.021  0.501 0.020 1.267 0.036 0.636 0.050 0.206 0.044
 2.30    7469 2.595 0.106 1.421 0.034 0.952 0.020  0.509 0.020 1.273 0.036 0.635 0.049 0.208 0.044
 2.32    7148 2.591 0.105 1.424 0.032 0.971 0.020  0.518 0.019 1.279 0.035 0.631 0.050 0.211 0.043
 2.34    8646 2.541 0.101 1.422 0.038 0.986 0.021  0.529 0.020 1.282 0.036 0.628 0.050 0.211 0.044
 2.36    7305 2.655 0.092 1.417 0.029 1.012 0.020  0.542 0.020 1.289 0.035 0.634 0.049 0.215 0.043
 2.38    8302 2.561 0.107 1.421 0.035 1.027 0.022  0.546 0.020 1.293 0.037 0.625 0.051 0.216 0.044
 2.40    8754 2.537 0.113 1.420 0.038 1.048 0.022  0.559 0.020 1.298 0.037 0.622 0.051 0.217 0.044
 2.42    6784 2.640 0.107 1.412 0.034 1.071 0.021  0.571 0.020 1.305 0.037 0.626 0.049 0.219 0.044
 2.44    7966 2.530 0.116 1.420 0.036 1.087 0.020  0.582 0.021 1.310 0.037 0.618 0.051 0.221 0.044
 2.46    6935 2.627 0.116 1.414 0.035 1.113 0.020  0.587 0.020 1.317 0.037 0.620 0.049 0.224 0.044
 2.48    7707 2.536 0.124 1.416 0.039 1.125 0.021  0.601 0.021 1.320 0.037 0.615 0.051 0.224 0.044
 2.50    6756 2.626 0.123 1.415 0.032 1.153 0.020  0.611 0.020 1.329 0.037 0.618 0.050 0.227 0.045
 2.52    8604 2.562 0.138 1.412 0.039 1.166 0.023  0.621 0.022 1.332 0.038 0.614 0.051 0.227 0.045
 2.54    7249 2.515 0.137 1.411 0.047 1.187 0.021  0.627 0.021 1.339 0.038 0.611 0.051 0.227 0.043
 2.56    5174 2.547 0.132 1.412 0.038 1.204 0.019  0.642 0.021 1.343 0.038 0.613 0.050 0.230 0.046
 2.58    6122 2.672 0.117 1.415 0.031 1.226 0.021  0.651 0.021 1.353 0.037 0.612 0.049 0.233 0.043
 2.60    7068 2.541 0.142 1.411 0.044 1.237 0.022  0.654 0.021 1.355 0.038 0.609 0.052 0.233 0.044
 2.62    7910 2.514 0.150 1.415 0.042 1.258 0.020  0.673 0.021 1.362 0.038 0.608 0.051 0.234 0.045
 2.64    5324 2.647 0.147 1.408 0.043 1.280 0.021  0.674 0.020 1.370 0.039 0.608 0.050 0.236 0.044
 2.66    5089 2.573 0.160 1.414 0.039 1.292 0.020  0.690 0.021 1.373 0.040 0.607 0.053 0.238 0.045
 2.68    6447 2.511 0.156 1.417 0.044 1.310 0.020  0.697 0.022 1.381 0.038 0.605 0.052 0.239 0.044
 2.70    9850 2.632 0.172 1.408 0.042 1.339 0.022  0.714 0.023 1.389 0.040 0.607 0.052 0.242 0.046
 2.74    9647 2.491 0.160 1.419 0.047 1.370 0.022  0.730 0.023 1.404 0.039 0.604 0.052 0.244 0.044
 2.78    6819 2.599 0.206 1.420 0.044 1.402 0.021  0.749 0.021 1.416 0.040 0.604 0.051 0.249 0.045
 2.82    6949 2.593 0.207 1.427 0.045 1.430 0.022  0.770 0.022 1.427 0.041 0.604 0.053 0.251 0.045
 2.86    6293 2.523 0.227 1.423 0.049 1.460 0.021  0.786 0.023 1.440 0.041 0.603 0.053 0.253 0.045
 2.90    4486 2.568 0.239 1.444 0.047 1.491 0.021  0.803 0.021 1.454 0.041 0.600 0.052 0.259 0.046
 2.94    4443 2.636 0.259 1.433 0.046 1.520 0.021  0.826 0.024 1.465 0.043 0.601 0.053 0.261 0.047
 2.98    4412 2.469 0.253 1.475 0.044 1.548 0.025  0.838 0.024 1.479 0.041 0.596 0.048 0.266 0.043
 3.02    2973 2.628 0.297 1.462 0.048 1.581 0.022  0.862 0.025 1.494 0.044 0.598 0.052 0.269 0.047
 3.06    2573 2.458 0.267 1.491 0.044 1.610 0.024  0.872 0.023 1.506 0.042 0.590 0.049 0.272 0.045
 3.10    4916 2.578 0.363 1.498 0.045 1.659 0.032  0.908 0.028 1.525 0.046 0.595 0.050 0.278 0.046
 3.20    3075 2.546 0.410 1.527 0.044 1.737 0.033  0.951 0.030 1.557 0.046 0.591 0.050 0.288 0.046
 3.30    2161 2.609 0.509 1.546 0.045 1.815 0.039  0.994 0.031 1.590 0.052 0.591 0.049 0.297 0.046
 3.40    2255 2.404 0.535 1.571 0.045 1.930 0.064  1.061 0.044 1.639 0.058 0.597 0.049 0.309 0.049
 3.60     924 2.586 0.753 1.601 0.051 2.117 0.062  1.158 0.047 1.711 0.066 0.597 0.052 0.326 0.050
 3.80     641 2.216 0.837 1.608 0.069 2.348 0.116  1.279 0.070 1.800 0.084 0.604 0.056 0.343 0.051
 4.20     152 1.707 0.888 1.668 0.108 2.665 0.090  1.462 0.062 1.923 0.091 0.616 0.055 0.366 0.051
