,objectid,extendedness,ra,dec,mag_i,mag_g,mag_r
109,21326419590151823,1.0,54.1694859491259,-28.6832333143175,22.2787,23.1006,22.9243
110,21326419590151900,1.0,54.0840152310099,-28.6828548397929,21.8959,23.1634,22.311
111,21326419590151908,0.0,54.1007521715699,-28.6825901558073,20.5964,20.9277,20.6769
112,21326419590151914,1.0,54.105459676652,-28.6841757960386,22.6746,24.4413,23.1993
113,21326419590151929,1.0,54.1260780477066,-28.6833842097708,23.3873,22.89,23.192
114,21326419590152002,1.0,54.104710796639,-28.6764432439187,21.7098,23.8253,22.5747
115,21326419590152003,1.0,54.1033461136019,-28.6780362118074,22.655,23.0789,22.7746
116,21326419590152004,1.0,54.1019671458987,-28.6776552824998,23.1949,24.0831,23.4412
117,21326419590152005,1.0,54.1015266399135,-28.6780658946688,24.3363,24.8535,24.7446
118,21326419590152015,0.0,54.0393464993617,-28.6779521104126,19.8702,20.1902,19.9436
119,21326419590152024,1.0,54.1136694531954,-28.6776206526314,23.6069,24.5053,24.3061
120,21326423885086891,1.0,54.0578077260235,-28.6741651440454,23.411,24.4953,23.7464
121,21326423885087000,0.0,54.1201046731643,-28.6701928104287,24.4256,24.4404,24.6171
122,21326423885087052,1.0,54.0498260111571,-28.6680484064926,23.1937,24.2934,23.8873
123,21326423885087055,1.0,54.1053837254747,-28.6677342933379,23.1486,24.0587,23.6095
124,21326423885087084,1.0,54.0997713328604,-28.6665446292168,24.2831,24.8646,24.8255
125,21326423885087095,1.0,54.0723984359731,-28.6661538485228,22.6962,23.1265,23.1535
126,21326423885087106,0.0,54.0570975827971,-28.6658174814975,22.39,23.4128,22.6815
127,21326423885087118,0.0,54.077874080501,-28.6654984284786,24.5231,24.7278,24.8734
128,21326423885087167,1.0,54.0361732607449,-28.6633368080253,22.9549,24.064,23.4122
129,21326423885087183,0.0,54.016278724781,-28.6625849504915,24.3541,25.1747,24.5705
130,21326423885087186,0.0,54.0044751265671,-28.662456343822,22.1535,22.304,22.4648
131,21326423885087239,1.0,54.095783037034,-28.6599139212866,21.9103,24.0196,22.801
132,21326423885087330,0.0,53.9611904535087,-28.6567384528962,24.2522,24.6379,24.6704
133,21326423885087336,1.0,54.1119047341639,-28.6560459959278,24.1619,25.1298,24.4112
